block.0.attn.q_conv.weight,block.0.attn.q_conv.bias,block.0.attn.k_conv.weight,block.0.attn.k_conv.bias,block.0.attn.v_conv.weight,block.0.attn.v_conv.bias,block.0.attn.talking_heads.weight,block.0.attn.proj_conv.weight,block.0.attn.proj_conv.bias,block.0.mlp.fc1_conv.weight,block.0.mlp.fc1_conv.bias,block.0.mlp.fc2_conv.weight,block.0.mlp.fc2_conv.bias,head.bias,head.weight
285,0,92,0,92,1,0,0,0,0,0,0,0,0,35
240,1,83,1,105,0,0,0,0,0,0,0,0,0,37
275,0,75,3,83,1,1,0,0,0,0,0,0,0,48
266,0,76,0,76,1,0,0,0,0,0,0,0,0,30
227,0,79,0,91,1,3,1829,10,0,0,0,0,0,34
232,0,59,1,75,0,0,0,0,0,0,0,0,0,25
203,0,54,0,55,1,0,0,0,0,0,0,0,0,24
191,1,46,1,51,2,0,0,0,0,0,0,0,0,19
203,0,47,1,46,0,0,0,0,0,0,0,0,0,17
179,0,50,0,54,0,0,0,0,0,0,0,0,0,10
188,0,30,0,39,1,0,0,0,0,0,0,0,0,10
200,0,39,2,39,0,0,0,0,0,0,0,0,0,8
169,1,40,1,22,0,0,1686,15,2231,46,4796,2,0,8
150,0,30,1,33,0,0,0,0,0,0,0,0,0,9
132,2,30,0,30,0,0,0,0,0,0,0,0,0,5
161,0,23,0,31,0,0,0,0,0,0,0,0,0,1
124,0,30,1,18,0,0,0,0,0,0,0,0,0,4
130,1,37,2,27,0,0,0,0,0,0,0,0,0,6
129,0,17,0,16,0,0,0,0,0,0,0,0,0,3
114,0,21,2,22,2,0,0,0,0,0,0,0,0,1
105,0,9,1,15,2,2,1610,13,0,0,0,0,0,1
121,0,12,1,17,0,1,0,0,0,0,0,0,0,6
108,0,12,0,14,0,0,0,0,0,0,0,0,0,1
105,1,11,2,20,1,1,0,0,0,0,0,0,0,0
80,0,14,1,11,0,0,0,0,0,0,0,0,0,1
95,0,9,0,15,0,0,0,0,0,0,0,0,0,1
91,0,10,1,10,1,1,0,0,0,0,0,0,0,0
95,0,7,0,11,0,0,0,0,0,0,0,0,0,1
67,0,8,0,7,3,0,1424,11,458,33,4863,7,0,0
81,1,6,1,10,0,1,0,0,0,0,0,0,0,0
63,0,7,0,8,1,1,0,0,0,0,0,0,0,0
58,0,8,2,3,1,0,0,0,0,0,0,0,0,1
69,1,4,0,9,0,0,0,0,0,0,0,0,0,0
71,0,2,2,3,1,0,0,0,0,0,0,0,0,0
39,1,9,0,6,0,0,0,0,0,0,0,0,0,0
46,1,3,0,5,1,1,0,0,0,0,0,0,0,0
48,0,4,1,7,0,0,1373,7,0,0,0,0,0,0
58,2,1,0,9,0,2,0,0,0,0,0,0,0,0
44,0,4,0,6,0,1,0,0,0,0,0,0,0,0
54,0,1,0,8,0,0,0,0,0,0,0,0,0,0
53,2,1,1,3,0,0,0,0,0,0,0,0,0,0
35,0,2,2,5,0,0,0,0,0,0,0,0,0,0
31,0,3,1,3,0,0,0,0,0,0,0,0,0,0
37,0,2,0,2,1,0,0,0,0,0,0,0,0,0
37,0,2,0,3,0,0,1225,7,63,44,4826,3,0,0
33,2,2,0,1,0,0,0,0,0,0,0,0,0,0
25,2,1,1,1,0,0,0,0,0,0,0,0,0,0
27,3,2,0,3,1,0,0,0,0,0,0,0,0,0
